NEUT0|"""Hello everyone, welcome back to another episode of I question Lunch Talk."
NEUT75|If you want to retain in terms of your retirement some retirement when you want to sell it in future, or even as a legacy product if you don't pass it on to your kids in future because the valuation is pretty much already determines.
NEUT76|And really, without most of the buyers, why?
NEUT77|Who wants to pay a cash above valuation for that particle properties?
NEUT78|So overall, in HB perspective, I highly encourage you guys to really pretty much at the more balanced viewpoint in a sense that do not come out too much cash over valuation, because think about it, every government releases that for $90,000 worth for the past three zone, right?
NEUT79|So at most you wanna buy it and you can buy like 500 K Five 10520 K but not to the point of being 600K.
NEUT80|50,000 cash over valuation over the valuation of yhe given.
NEUT81|So now even look at this in this perspective is that is that that cash involution can only be paid by cash and therefore of course cash is King of Kashmir.
NEUT82|We used to actually be invested into many other investment asset class as well.
NEUT83|So what does this really mean for you as a buyer?
NEUT84|Will price continuously rise?
NEUT85|So let's take.
NEUT86|Let's take a set as a sit back and let's analyze this whole thing first.
NEUT87|No, I understand in 20 years back, let's say the 97 crisis, the global financial crisis is what we see.
NEUT88|Prices tumble down pretty drastically, but let's let's, let's really, let's look at it, or the more logical POV today.
BEAR89|Real prices continuously rise of crisis as she crashed the whole property market.
NEUT90|Now if there wasn't any cooling measures in place, cooling measures being order ABSD came in, or the TDs are measures that came in.
NEUT91|If there wasn't such measures came in.
NEUT92|I would say that the property price would be pretty much very in horse.
NEUT93|Singapore will be very not control in that scenario.
NEUT94|In this email then or cost price would have been much higher than it was when it supposed to be today.
BEAR95|So because of that, then yes, there is a risk of actually crashing down if is uncontrolled market.
NEUT96|But you must understand this one thing that Singapore is very good in terms of the fact that is trying to control the increasing public price through cooling measures.
NEUT97|And of course in this narrow on HB perspective.
NEUT98|Issue a valuation set by the government.
NEUT99|So in that scenario, expecting the public price will crash down like 1997 crises, right?
NEUT100|I will say that this is something that is is pretty much will probably not happen 'cause prices in this scenario, government and just actually release one of the 10 cooling measures an you aspect price would then shoot up for the dramatically there has really been proven ever since the one hitting a measure.
NEUT101|Just a couple of years back and pray that she went back up quite dramatically, right?
NEUT102|So in this scenario, I would say that there's a lot of measures for government to then take a step back to release all these cooling measures to give a heating measure to them.
NEUT103|So bring the puppy market back to what it was supposed to be already.
NEUT104|So in essence we cannot.
NEUT105|Then expert on the head of a 97 crisis in two days scenario as well and therefore do they to me is Singapore Market is a very new norm, is a very it's a new era itself and we need to.
NEUT106|We need to understand that.
BULL107|Property price today is pretty control in terms of the increase and also in the depreciation as well now.
NEUT108|Then come down the flip side, right is that will then price prices keep continuously to right side.
NEUT109|Will they continuously rice?
NEUT110|So in this scenario again once again I will say no because the number of bias and the number of buyers are there is willing to pay this high cash over valuation is always limited because in this scenario you must understand.
BULL111|Once again when someone is able to able to come out $100,000 cash over valuation, they would easily be able to afford a private property as well and therefore guys.
NEUT112|And therefore if you think about it.
NEUT113|Because the buyer pool is the same between the private properties and the HB.
NEUT114|Most of the time I would say that most buyers who then choose to go to a private property space rather than then, so high cash for this HP to pay these high cash over valuation so.
NEUT115|Coming into in some ways, this is that will.
NEUT116|It comes.
NEUT117|I mean it comes back down to do my or this whole topic or is that is casual version?
NEUT118|Is it here to stay my things that he will slowly died out?
NEUT119|I don't know, especially now we are at the vaccinations phase of the whole pandemic situation, right?
NEUT120|The market sentiment and fear sentiment.
BEAR121|Now it's this is really pretty much coming down in terms of the fear sentiment and therefore we can expect that the casual valuation.
NEUT122|In this scenario will also then slowly die down by 'cause.
NEUT123|As I said, two core reason number one is something that we can control because video construction is going to be delayed.
NEUT124|Delator and therefore more people going to resale market but must have people go to recent market.
BEAR125|Most of them will do not want to pay such high cash over valuation and #2.
NEUT126|Which will it be.
BULL127|Hard drives up.
BULL128|The main reason for higher cash flow valuation.
NEUT129|People willing pay $100,000 cash ovation, usually based on more fear factor that they think that price is going to continuously go up or they think that this unit is something that's so hard to the point where where everyone's going to beat them.
NEUT130|So it's a lot.
NEUT131|A lot of times it comes down to fear factor or very.
NEUT132|Emotional factor of West Valley.
NEUT133|Love this unit and they don't care how much money they spend it.
NEUT134|So in this near the number of buyers in this market space is usually very small and therefore this is I. I personally feel that it's not going to continuously happen where cash mobile value is going to be going on.
NEUT135|50,000, sixty 1070 thousand and above right.
BULL136|But you still always a normal is normal scenario for people to pay 10,020 thousand maximum cash over valuation on HBI think that's still OK, there's still decent but expected.
NEUT137|100,000 over dollar cash value is something that I personally would likely not happen.
NEUT138|OK, so if these guys we have only questions do just posting the check OK and we just reply them.
NEUT139|Of course even if you live or not live, you just reply when we can.
NEUT140|OK so in this email 'cause once again do feel free and I would encourage every single one you guys and then also subscribe to our Facebook Subtract YouTube channel, give us give us a time's up for this particular video.
NEUT141|OK so that we can just share you more opinions and thoughts.
NEUT142|Investor point of view.
NEUT143|OK an.
NEUT144|I mean you guys have a homeowner home by itself, then 'cause then it would be nice to have a little bit of a hybrid in the sense to.
NEUT145|Then of course I mean no one, no one.
NEUT146|No one says that you cannot be a homeowner at the same time.
NEUT147|Be investor as well, so it sometimes you want to have hybrid strategy.
NEUT148|Ensure that a home that you stay in at least two increases in value over time or in the worst case scenario at least use stay in value over time as well.
BULL149|OK so with this guys as usual impressive.
NEUT150|And if you have any questions, give posting a chat and I'll see you guys next week.
NEUT151|See you.
NEUT152|"Bye."""
